"Path","LineNumber","Line"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\components\FeedbackWidget.tsx","77","      const res = await fetch(""/api/feedback"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\components\InlineQuizBuilder.tsx","54","    fetch(`/api/quiz/custom/${editId}`, { headers: getAuthHeader(), credentials: ""include"" })"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\components\InlineQuizBuilder.tsx","101","      const res = await fetch(""/api/quiz/generate-from-doc"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\components\InlineQuizBuilder.tsx","130","      const res = await fetch(url, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\contexts\AppContext.tsx","208","        await fetch('/api/auth/refresh', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\contexts\UserPreferencesContext.tsx","193","      await fetch('/api/data/preferences', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\contexts\UserPreferencesContext.tsx","219","    fetch('/api/data/preferences', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\hooks\useNotificationWS.ts","133","      fetch(`/api/messages/notifications/${id}/read`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\hooks\useNotificationWS.ts","145","      fetch(""/api/messages/notifications/read-all"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","202","  const res = await fetch(""https://api.groq.com/openai/v1/chat/completions"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","228","  const res = await fetch("
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","262","      const res = await fetch(""https://openrouter.ai/api/v1/chat/completions"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","294","  const res = await fetch(""https://api.openai.com/v1/chat/completions"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","319","  const res = await fetch(""https://api.anthropic.com/v1/messages"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","354","      const res = await fetch("
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","399","    const res = await fetch(""/api/ai/generate"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","1810","        fetch('/api/ai/diagram', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","1816","        fetch('/api/ai/diagram', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","2654","    const res = await fetch('/api/ai/diagram', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","2778","  const res = await fetch('/api/ai/scaffold-worksheet', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","2830","  const res = await fetch('/api/ai/differentiate-worksheet', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\ai.ts","3574","  const res = await fetch(""/api/ai/batch-generate-worksheet"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\lib\api.ts","41","  const res = await fetch(`${API_BASE}/api${path}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\reading\BookQuestionsTab.tsx","118","            const response = await fetch(""/api/ai/book-questions"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\tools\IEPGenerator.tsx","379","    const res = await fetch(""/api/ehcp/extract"", { method: ""POST"", credentials: ""include"", body: fd });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\tools\IEPGenerator.tsx","388","      const poll = await fetch(`/api/ehcp/job/${jobId}`, { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\tools\PresentationMaker.tsx","1911","      const res = await fetch(""/api/presentation-library/entries"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\tools\PresentationMaker.tsx","1939","      const res = await fetch(""/api/presentation/email"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\tools\QuizJoin.tsx","79","      const res = await fetch(`/api/quiz/rooms/${code}`, { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\tools\QuizJoin.tsx","126","      const res = await fetch(`/api/quiz/rooms/${code}/join`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\tools\QuizJoin.tsx","147","      const res = await fetch(`/api/quiz/rooms/${joinedCode}/answer`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","165","      fetch(""/api/admin/stats"", { credentials: ""include"" }).then(r => r.ok ? r.json() : null).catch(() => null),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","166","      fetch(""/api/admin/ai-keys"", { credentials: ""include"" }).then(r => r.ok ? r.json() : {}).catch(() => ({})),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","167","      fetch(""/api/admin/breach-log"", { credentials: ""include"" }).then(r => r.ok ? r.json() : { breaches: [] }).catch(() => ({ breaches: [] })),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","168","      fetch(""/api/admin/school-usage-trend"", { credentials: ""include"" }).then(r => r.ok ? r.json() : []).catch(() => []),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","179","        fetch(""/api/admin/super/schools"", { credentials: ""include"" }).then(r => r.ok ? r.json() : { schools: [] }).catch(() => ({ schools: [] })),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","180","        fetch(""/api/admin/super/billing-summary"", { credentials: ""include"" }).then(r => r.ok ? r.json() : null).catch(() => null),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","181","        fetch(""/api/admin/super/users"", { credentials: ""include"" }).then(r => r.ok ? r.json() : { users: [] }).catch(() => ({ users: [] })),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","182","        fetch(""/api/admin/super/audit"", { credentials: ""include"" }).then(r => r.ok ? r.json() : { logs: [] }).catch(() => ({ logs: [] })),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","197","        const r = await fetch(""/api/admin/live-logs"", { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","266","      await fetch(""/api/admin/ai-keys"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","280","      const r = await fetch(`/api/admin/test-ai/${provider}`, { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","777","                        const r = await fetch(""/api/admin/breach-log"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","786","                        const updated = await fetch(""/api/admin/breach-log"", { credentials: ""include"" }).then(r => r.json());"
