id,title,subject,topic,year_group,year_band,diagram_type,description,style_notes,tags,source,curated,image_url,asset_ref
pdl-0001,Ten frame — 0 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 0 red counters filled (left to right, top row first) and 10 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0002,Ten frame — 1 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 1 red counters filled (left to right, top row first) and 9 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0003,Ten frame — 2 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 2 red counters filled (left to right, top row first) and 8 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0004,Ten frame — 3 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 3 red counters filled (left to right, top row first) and 7 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0005,Ten frame — 4 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 4 red counters filled (left to right, top row first) and 6 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0006,Ten frame — 5 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 5 red counters filled (left to right, top row first) and 5 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0007,Ten frame — 6 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 6 red counters filled (left to right, top row first) and 4 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0008,Ten frame — 7 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 7 red counters filled (left to right, top row first) and 3 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0009,Ten frame — 8 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 8 red counters filled (left to right, top row first) and 2 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0010,Ten frame — 9 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 9 red counters filled (left to right, top row first) and 1 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
pdl-0011,Ten frame — 10 counters,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A 2×5 ten frame with 10 red counters filled (left to right, top row first) and 0 empty cells.","Solid red counters, black grid lines, white cells, equal cell size","[""ten-frame"",""counting"",""subitising"",""number-sense""]",Adaptly Primary Catalogue,0,,
